epoch,stage,train_loss,train_accuracy,val_loss,val_accuracy,lr,seconds
1,head,0.8561006526908149,0.8002717391304348,0.3460654004112534,0.8885869565217391,0.001,21.085217800000002
2,head,0.18774121615063885,0.9459918478260869,0.2639966458082199,0.9103260869565217,0.0005,8.995787299999996
3,finetune,0.3131538627102323,0.9045516304347826,0.30834213401312416,0.8926630434782609,0.0001,9.304360500000001
4,finetune,0.13572287717429193,0.9578804347826086,0.266308204797299,0.9103260869565217,9.755282581475769e-05,7.903439200000001
5,finetune,0.07011500952522391,0.9806385869565217,0.28497733434905176,0.90625,9.045084971874737e-05,7.833621299999997
6,finetune,0.055020233494756016,0.9850543478260869,0.2722036368820978,0.9089673913043478,7.938926261462366e-05,7.839994999999995
7,finetune,0.03922484620757725,0.9898097826086957,0.28359572799957317,0.9089673913043478,6.545084971874737e-05,7.762895599999993
8,finetune,0.025430803025222343,0.993546195652174,0.29168709740042686,0.9021739130434783,4.9999999999999996e-05,7.834027599999999
9,finetune,0.021836334151094376,0.9959239130434783,0.2732911707590456,0.9157608695652174,3.454915028125263e-05,7.980573700000008
10,finetune,0.018432665373320164,0.9959239130434783,0.2638382050006286,0.9184782608695652,2.0610737385376345e-05,7.90477820000001
11,finetune,0.01689984216152326,0.9969429347826086,0.2656215029242246,0.9211956521739131,9.549150281252631e-06,7.927347800000007
12,finetune,0.014502918428700903,0.9972826086956522,0.2651643863190775,0.9184782608695652,2.447174185242323e-06,8.03066779999999
